lowRate,cheapestRate_allNights_baseFare,cheapestRate_allNights_fees,cheapestRate_allNights_taxes,cheapestRate_allNights_totalFare,cheapestRate_perNight_baseFare,cheapestRate_perNight_fees,cheapestRate_perNight_taxes,cheapestRate_perNight_totalFare,originalRate_allNights_baseFare,originalRate_allNights_fees,originalRate_allNights_taxes,originalRate_allNights_totalFare,originalRate_perNight_baseFare,originalRate_perNight_fees,originalRate_perNight_taxes,originalRate_perNight_totalFare
1166000,963636,0,202364,1166000,321212,0.0,67454.67,388667,1284848,0,269819,1554667,428282,0.0,89939.67,518222
420651,347646,0,73005,420651,115882,0.0,24335.0,140217,445698,0,93598,539296,148566,0.0,31199.33,179765
900000,743802,156198,0,900000,247934,52066.0,0.0,300000,991736,208264,0,1200000,330578,69421.33,0.0,400000
659459,545008,0,114451,659459,181669,0.0,38150.33,219820,698727,0,146733,845460,232909,0.0,48911.0,281820
960000,793388,0,166612,960000,264462,0.0,55537.33,320000,1057851,0,222149,1280000,352617,0.0,74049.67,426667
431285,356434,0,74851,431285,118811,0.0,24950.33,143762,456967,0,95963,552930,152322,0.0,31987.67,184310
2374274,1962210,0,412064,2374274,654070,0.0,137354.67,791425,2687958,0,564472,3252430,895986,0.0,188157.33,1084143
1194000,986778,0,207222,1194000,328926,0.0,69074.0,398000,1315704,0,276296,1592000,438568,0.0,92098.67,530667
209997,173550,0,36447,209997,57850,0.0,12149.0,69999,231400,0,48596,279996,77133,0.0,16198.67,93332
423423,349936,0,73487,423423,116645,0.0,24495.67,141141,448635,0,94214,542849,149545,0.0,31404.67,180950
773916,639599,0,134317,773916,213199,0.0,44772.33,257972,872181,0,183159,1055340,290727,0.0,61053.0,351780
404772,334523,0,70249,404772,111507,0.0,23416.33,134924,428874,0,90064,518938,142958,0.0,30021.33,172979
1365150,1128222,0,236928,1365150,376074,0.0,78976.0,455050,1187604,0,249396,1437000,395868,0.0,83132.0,479000
3144000,2598347,0,545653,3144000,866115,0.0,181884.33,1048000,3464463,0,727537,4192000,1154821,0.0,242512.33,1397333
1555000,1285124,0,269876,1555000,428374,0.0,89958.67,518333,1713499,0,359834,2073333,571166,0.0,119944.67,691111
2845000,2351239,0,493761,2845000,783746,0.0,164587.0,948333,3134985,0,658348,3793333,1044995,0.0,219449.33,1264444
2744313,2268027,0,476286,2744313,756009,0.0,158762.0,914771,3024036,0,635048,3659084,1008012,0.0,211682.67,1219695
1140000,942149,0,197851,1140000,314049,0.0,65950.33,380000,1256199,0,263801,1520000,418733,0.0,87933.67,506667
2543000,2101653,0,441347,2543000,700551,0.0,147115.67,847667,2802204,0,588463,3390667,934068,0.0,196154.33,1130222
850000,702480,0,147520,850000,234160,0.0,49173.33,283333,936640,0,196693,1133333,312213,0.0,65564.33,377778
399249,329957,0,69292,399249,109985,0.0,23097.33,133083,523742,0,109985,633727,174580,0.0,36661.67,211242
2625000,2169420,0,455580,2625000,723140,0.0,151860.0,875000,3099174,0,650826,3750000,1033058,0.0,216942.0,1250000
1100000,909091,0,190909,1100000,303030,0.0,63636.33,366667,1212121,0,254546,1466667,404040,0.0,84848.67,488889
697360,576330,0,121030,697360,192110,0.0,40343.33,232453,738886,0,155165,894051,246295,0.0,51721.67,298017
1320000,1090908,0,229092,1320000,363636,0.0,76364.0,440000,1454544,0,305456,1760000,484848,0.0,101818.67,586667
1770000,1462809,0,307191,1770000,487603,0.0,102397.0,590000,1950412,0,409588,2360000,650137,0.0,136529.33,786667
2085365,1723443,0,361922,2085365,574481,0.0,120640.67,695122,2297924,0,482563,2780487,765974,0.0,160854.33,926829
1716870,1418901,0,297969,1716870,472967,0.0,99323.0,572290,1891868,0,397292,2289160,630622,0.0,132430.67,763053
1058826,875064,0,183762,1058826,291688,0.0,61254.0,352942,1166752,0,245016,1411768,388917,0.0,81672.0,470589
900000,743802,0,156198,900000,247934,0.0,52066.0,300000,991736,0,208264,1200000,330578,0.0,69421.33,400000
1620000,1338843,0,281157,1620000,446281,0.0,93719.0,540000,1785124,0,374876,2160000,595041,0.0,124958.67,720000
1350000,1115703,0,234297,1350000,371901,0.0,78099.0,450000,1487604,0,312396,1800000,495868,0.0,104132.0,600000
773557,639303,0,134254,773557,213101,0.0,44751.33,257852,1014767,0,213101,1227868,338255,0.0,71033.67,409289
399249,329957,0,69292,399249,109985,0.0,23097.33,133083,523742,0,109985,633727,174580,0.0,36661.67,211242
839997,694212,0,145785,839997,231404,0.0,48595.0,279999,925616,0,194380,1119996,308538,0.0,64793.33,373332
1342258,1109304,0,232954,1342258,369768,0.0,77651.33,447419,1422184,0,298659,1720843,474061,0.0,99553.0,573614
1090250,901034,0,189216,1090250,300344,0.0,63072.0,363417,1201379,0,252288,1453667,400459,0.0,84096.0,484556
2040000,1685949,0,354051,2040000,561983,0.0,118017.0,680000,2247932,0,472068,2720000,749310,0.0,157356.0,906667
3031101,2505042,0,526059,3031101,835014,0.0,175353.0,1010367,3340056,0,701412,4041468,1113352,0.0,233804.0,1347156
3224000,2664463,0,559537,3224000,888154,0.0,186512.33,1074667,3552617,0,746050,4298667,1184205,0.0,248683.33,1432889
4767576,3940146,0,827430,4767576,1313382,0.0,275810.0,1589192,5253528,0,1103240,6356768,1751176,0.0,367746.67,2118923
3059182,2528249,530933,0,3059182,842749,176977.67,0.0,1019727,2906033,530933,0,3436966,968677,176977.67,0.0,1145655
3932500,3250000,682500,0,3932500,1083333,227500.0,0.0,1310833,4333333,910000,0,5243333,1444444,303333.33,0.0,1747778
3601002,2976035,0,624967,3601002,992011,0.0,208322.33,1200334,3968047,0,833289,4801336,1322682,0.0,277763.0,1600445
5520000,4561983,0,958017,5520000,1520661,0.0,319339.0,1840000,6082644,0,1277356,7360000,2027548,0.0,425785.33,2453333
3059182,2528249,530933,0,3059182,842749,176977.67,0.0,1019727,2906033,530933,0,3436966,968677,176977.67,0.0,1145655
2924000,2416530,0,507470,2924000,805510,0.0,169156.67,974667,2842975,0,597025,3440000,947658,0.0,199008.33,1146667
2834888,2342883,0,492005,2834888,780961,0.0,164001.67,944963,3123844,0,656007,3779851,1041281,0.0,218669.0,1259950
2924000,2416530,0,507470,2924000,805510,0.0,169156.67,974667,2842975,0,597025,3440000,947658,0.0,199008.33,1146667
4491400,3711900,0,779500,4491400,1237300,0.0,259833.33,1497133,4949200,0,1039333,5988533,1649733,0.0,346444.33,1996178
1800000,1487603,0,312397,1800000,495867,0.0,104132.33,600000,1983471,0,416529,2400000,661157,0.0,138843.0,800000
1326000,1095868,0,230132,1326000,365289,0.0,76710.67,442000,1461157,0,306843,1768000,487052,0.0,102281.0,589333
1050000,867768,0,182232,1050000,289256,0.0,60744.0,350000,1157024,0,242976,1400000,385674,0.0,80992.0,466667
2150000,1776860,0,373140,2150000,592286,0.0,124380.0,716667,2369147,0,497520,2866667,789715,0.0,165840.0,955556
977705,808021,0,169684,977705,269340,0.0,56561.33,325902,1035924,0,217543,1253467,345308,0.0,72514.33,417822
1500000,1239669,0,260331,1500000,413223,0.0,86777.0,500000,1652892,0,347108,2000000,550964,0.0,115702.67,666667
1392500,1150827,0,241673,1392500,383609,0.0,80557.67,464167,1534436,0,322231,1856667,511478,0.0,107410.33,618889
2121266,1753113,0,368153,2121266,584371,0.0,122717.67,707089,2337484,0,490871,2828355,779161,0.0,163623.67,942785
270000,223140,0,46860,270000,74380,0.0,15620.0,90000,297520,0,62480,360000,99173,0.0,20826.67,120000
502524,415309,0,87215,502524,138436,0.0,29071.67,167508,532447,0,111814,644261,177482,0.0,37271.33,214754
1860508,1537610,0,322898,1860508,512536,0.0,107632.67,620169,1971295,0,413972,2385267,657098,0.0,137990.67,795089
970000,801653,0,168347,970000,267217,0.0,56115.67,323333,1068871,0,224462,1293333,356290,0.0,74820.67,431111
1650000,1363635,0,286365,1650000,454545,0.0,95455.0,550000,1818180,0,381820,2200000,606060,0.0,127273.33,733333
