city,id,name,displayName,region,starRating,userRating,numReviews,userRatingInfo
Medan,9000001099742,Odua Golden Mansyur Medan,Odua Golden Mansyur Medan,"Medan Baru, Medan",0.0,,2.0,
Medan,9000000967170,OYO 90457 Anara Residence & Guest House,OYO 90457 Anara Residence & Guest House,"Medan Helvetia, Medan",2.0,8.4,77.0,Mengesankan
Medan,9000000370090,OYO 1457 Tmj Guest House,OYO 1457 Tmj Guest House,"Pusat Kota Medan, Medan",1.5,7.9,213.0,Nyaman
Medan,3000010000566,Putra Mulia Hotel,Putra Mulia Hotel,"Medan Petisah, Medan",3.0,7.8,719.0,Nyaman
Medan,9000000174438,Alam Hotel by Cordela,Alam Hotel by Cordela,"Medan Area, Medan",3.0,8.4,172.0,Mengesankan
Medan,1000000474312,OYO 2574 Z Suites Hotel,OYO 2574 Z Suites Hotel,"Medan Sunggal, Medan",2.0,7.3,417.0,Nyaman
Medan,9000000947465,Hotel Anaya,Hotel Anaya,"Medan Baru, Medan",0.0,6.9,19.0,Baik
Medan,9000000122548,OYO 456 Aljadid Guest House Syariah,OYO 456 Aljadid Guest House Syariah,"Pusat Kota Medan, Medan",2.0,8.4,156.0,Mengesankan
Medan,3000010019269,Kanasha Hotel,Kanasha Hotel,"Pusat Kota Medan, Medan",1.0,8.8,1036.0,Mengesankan
Medan,9000000368102,OYO 1400 Barat Residence Syariah,OYO 1400 Barat Residence Syariah,"Medan Selayang, Medan",1.5,7.6,99.0,Nyaman
Medan,9000000966681,OYO 90447 Kardopa Hotel Megapark,OYO 90447 Kardopa Hotel Megapark,"Medan Petisah, Medan",1.0,8.1,33.0,Nyaman
Medan,9000001043577,Huber Apartment,Huber Apartment,"Medan Selayang, Medan",2.0,7.8,320.0,Nyaman
Medan,3000020003206,My Studio Hotel Kualanamu Airport Medan,My Studio Hotel Kualanamu Airport Medan,"Batang Kuis, Medan",1.0,8.3,805.0,Mengesankan
Medan,9000000369531,OYO 1183 Papakoel,OYO 1183 Papakoel,"Medan Baru, Medan",1.0,8.1,147.0,Nyaman
Medan,3000010016528,Vivo Stay,Vivo Stay,"Pusat Kota Medan, Medan",2.0,7.6,348.0,Nyaman
Medan,3000020021462,OYO 359 Executive Inn,OYO 359 Executive Inn,"Medan Tembung, Medan",1.0,8.1,143.0,Nyaman
Denpasar,9000000414227,Adi Pelita Sari,Adi Pelita Sari,"Denpasar Barat, Denpasar",0.0,8.6,6.0,Mengesankan
Banda Aceh,3000010003879,Hermes Palace by BENCOOLEN,Hermes Palace by BENCOOLEN,"Ulee Kareng, Banda Aceh",5.0,8.4,2544.0,Mengesankan
